image_path,label
data\apple\0023-fe0f-20e3.png,apple
data\apple\002a-fe0f-20e3.png,apple
data\apple\0030-fe0f-20e3.png,apple
data\apple\0031-fe0f-20e3.png,apple
data\apple\0032-fe0f-20e3.png,apple
data\apple\0033-fe0f-20e3.png,apple
data\apple\0034-fe0f-20e3.png,apple
data\apple\0035-fe0f-20e3.png,apple
data\apple\0036-fe0f-20e3.png,apple
data\apple\0037-fe0f-20e3.png,apple
data\apple\0038-fe0f-20e3.png,apple
data\apple\0039-fe0f-20e3.png,apple
data\apple\00a9-fe0f.png,apple
data\apple\00ae-fe0f.png,apple
data\apple\1f004.png,apple
data\apple\1f0cf.png,apple
data\apple\1f170-fe0f.png,apple
data\apple\1f171-fe0f.png,apple
data\apple\1f17e-fe0f.png,apple
data\apple\1f17f-fe0f.png,apple
data\apple\1f18e.png,apple
data\apple\1f191.png,apple
data\apple\1f192.png,apple
data\apple\1f193.png,apple
data\apple\1f194.png,apple
data\apple\1f195.png,apple
data\apple\1f196.png,apple
data\apple\1f197.png,apple
data\apple\1f198.png,apple
data\apple\1f199.png,apple
data\apple\1f19a.png,apple
data\apple\1f1e6-1f1e8.png,apple
data\apple\1f1e6-1f1e9.png,apple
data\apple\1f1e6-1f1ea.png,apple
data\apple\1f1e6-1f1eb.png,apple
data\apple\1f1e6-1f1ec.png,apple
data\apple\1f1e6-1f1ee.png,apple
data\apple\1f1e6-1f1f1.png,apple
data\apple\1f1e6-1f1f2.png,apple
data\apple\1f1e6-1f1f4.png,apple
data\apple\1f1e6-1f1f6.png,apple
data\apple\1f1e6-1f1f7.png,apple
data\apple\1f1e6-1f1f8.png,apple
data\apple\1f1e6-1f1f9.png,apple
data\apple\1f1e6-1f1fa.png,apple
data\apple\1f1e6-1f1fc.png,apple
data\apple\1f1e6-1f1fd.png,apple
data\apple\1f1e6-1f1ff.png,apple
data\apple\1f1e7-1f1e6.png,apple
data\apple\1f1e7-1f1e7.png,apple
data\apple\1f1e7-1f1e9.png,apple
data\apple\1f1e7-1f1ea.png,apple
data\apple\1f1e7-1f1eb.png,apple
data\apple\1f1e7-1f1ec.png,apple
data\apple\1f1e7-1f1ed.png,apple
data\apple\1f1e7-1f1ee.png,apple
data\apple\1f1e7-1f1ef.png,apple
data\apple\1f1e7-1f1f1.png,apple
data\apple\1f1e7-1f1f2.png,apple
data\apple\1f1e7-1f1f3.png,apple
data\apple\1f1e7-1f1f4.png,apple
data\apple\1f1e7-1f1f6.png,apple
data\apple\1f1e7-1f1f7.png,apple
data\apple\1f1e7-1f1f8.png,apple
data\apple\1f1e7-1f1f9.png,apple
data\apple\1f1e7-1f1fb.png,apple
data\apple\1f1e7-1f1fc.png,apple
data\apple\1f1e7-1f1fe.png,apple
data\apple\1f1e7-1f1ff.png,apple
data\apple\1f1e8-1f1e6.png,apple
data\apple\1f1e8-1f1e8.png,apple
data\apple\1f1e8-1f1e9.png,apple
data\apple\1f1e8-1f1eb.png,apple
data\apple\1f1e8-1f1ec.png,apple
data\apple\1f1e8-1f1ed.png,apple
data\apple\1f1e8-1f1ee.png,apple
data\apple\1f1e8-1f1f0.png,apple
data\apple\1f1e8-1f1f1.png,apple
data\apple\1f1e8-1f1f2.png,apple
data\apple\1f1e8-1f1f3.png,apple
data\apple\1f1e8-1f1f4.png,apple
data\apple\1f1e8-1f1f5.png,apple
data\apple\1f1e8-1f1f7.png,apple
data\apple\1f1e8-1f1fa.png,apple
data\apple\1f1e8-1f1fb.png,apple
data\apple\1f1e8-1f1fc.png,apple
data\apple\1f1e8-1f1fd.png,apple
data\apple\1f1e8-1f1fe.png,apple
data\apple\1f1e8-1f1ff.png,apple
data\apple\1f1e9-1f1ea.png,apple
data\apple\1f1e9-1f1ec.png,apple
data\apple\1f1e9-1f1ef.png,apple
data\apple\1f1e9-1f1f0.png,apple
data\apple\1f1e9-1f1f2.png,apple
data\apple\1f1e9-1f1f4.png,apple
data\apple\1f1e9-1f1ff.png,apple
data\apple\1f1ea-1f1e6.png,apple
data\apple\1f1ea-1f1e8.png,apple
data\apple\1f1ea-1f1ea.png,apple
data\apple\1f1ea-1f1ec.png,apple
data\apple\1f1ea-1f1ed.png,apple
data\apple\1f1ea-1f1f7.png,apple
data\apple\1f1ea-1f1f8.png,apple
data\apple\1f1ea-1f1f9.png,apple
data\apple\1f1ea-1f1fa.png,apple
data\apple\1f1eb-1f1ee.png,apple
data\apple\1f1eb-1f1ef.png,apple
data\apple\1f1eb-1f1f0.png,apple
data\apple\1f1eb-1f1f2.png,apple
data\apple\1f1eb-1f1f4.png,apple
data\apple\1f1eb-1f1f7.png,apple
data\apple\1f1ec-1f1e6.png,apple
data\apple\1f1ec-1f1e7.png,apple
data\apple\1f1ec-1f1e9.png,apple
data\apple\1f1ec-1f1ea.png,apple
data\apple\1f1ec-1f1eb.png,apple
data\apple\1f1ec-1f1ec.png,apple
data\apple\1f1ec-1f1ed.png,apple
data\apple\1f1ec-1f1ee.png,apple
data\apple\1f1ec-1f1f1.png,apple
data\apple\1f1ec-1f1f2.png,apple
data\apple\1f1ec-1f1f3.png,apple
data\apple\1f1ec-1f1f5.png,apple
data\apple\1f1ec-1f1f6.png,apple
data\apple\1f1ec-1f1f7.png,apple
data\apple\1f1ec-1f1f8.png,apple
data\apple\1f1ec-1f1f9.png,apple
data\apple\1f1ec-1f1fa.png,apple
data\apple\1f1ec-1f1fc.png,apple
data\apple\1f1ec-1f1fe.png,apple
data\apple\1f1ed-1f1f0.png,apple
data\apple\1f1ed-1f1f2.png,apple
data\apple\1f1ed-1f1f3.png,apple
data\apple\1f1ed-1f1f7.png,apple
data\apple\1f1ed-1f1f9.png,apple
data\apple\1f1ed-1f1fa.png,apple
data\apple\1f1ee-1f1e8.png,apple
data\apple\1f1ee-1f1e9.png,apple
data\apple\1f1ee-1f1ea.png,apple
data\apple\1f1ee-1f1f1.png,apple
data\apple\1f1ee-1f1f2.png,apple
data\apple\1f1ee-1f1f3.png,apple
data\apple\1f1ee-1f1f4.png,apple
data\apple\1f1ee-1f1f6.png,apple
data\apple\1f1ee-1f1f7.png,apple
data\apple\1f1ee-1f1f8.png,apple
data\apple\1f1ee-1f1f9.png,apple
data\apple\1f1ef-1f1ea.png,apple
data\apple\1f1ef-1f1f2.png,apple
data\apple\1f1ef-1f1f4.png,apple
data\apple\1f1ef-1f1f5.png,apple
data\apple\1f1f0-1f1ea.png,apple
data\apple\1f1f0-1f1ec.png,apple
data\apple\1f1f0-1f1ed.png,apple
data\apple\1f1f0-1f1ee.png,apple
data\apple\1f1f0-1f1f2.png,apple
data\apple\1f1f0-1f1f3.png,apple
data\apple\1f1f0-1f1f5.png,apple
data\apple\1f1f0-1f1f7.png,apple
data\apple\1f1f0-1f1fc.png,apple
data\apple\1f1f0-1f1fe.png,apple
data\apple\1f1f0-1f1ff.png,apple
data\apple\1f1f1-1f1e6.png,apple
data\apple\1f1f1-1f1e7.png,apple
data\apple\1f1f1-1f1e8.png,apple
data\apple\1f1f1-1f1ee.png,apple
data\apple\1f1f1-1f1f0.png,apple
data\apple\1f1f1-1f1f7.png,apple
data\apple\1f1f1-1f1f8.png,apple
data\apple\1f1f1-1f1f9.png,apple
data\apple\1f1f1-1f1fa.png,apple
data\apple\1f1f1-1f1fb.png,apple
data\apple\1f1f1-1f1fe.png,apple
data\apple\1f1f2-1f1e6.png,apple
data\apple\1f1f2-1f1e8.png,apple
data\apple\1f1f2-1f1e9.png,apple
data\apple\1f1f2-1f1ea.png,apple
data\apple\1f1f2-1f1eb.png,apple
data\apple\1f1f2-1f1ec.png,apple
data\apple\1f1f2-1f1ed.png,apple
data\apple\1f1f2-1f1f0.png,apple
data\apple\1f1f2-1f1f1.png,apple
data\apple\1f1f2-1f1f2.png,apple
data\apple\1f1f2-1f1f3.png,apple
data\apple\1f1f2-1f1f4.png,apple
data\apple\1f1f2-1f1f5.png,apple
data\apple\1f1f2-1f1f6.png,apple
data\apple\1f1f2-1f1f7.png,apple
data\apple\1f1f2-1f1f8.png,apple
data\apple\1f1f2-1f1f9.png,apple
data\apple\1f1f2-1f1fa.png,apple
data\apple\1f1f2-1f1fb.png,apple
data\apple\1f1f2-1f1fc.png,apple
data\apple\1f1f2-1f1fd.png,apple
data\apple\1f1f2-1f1fe.png,apple
data\apple\1f1f2-1f1ff.png,apple
data\apple\1f1f3-1f1e6.png,apple
data\apple\1f1f3-1f1e8.png,apple
data\apple\1f1f3-1f1ea.png,apple
data\apple\1f1f3-1f1eb.png,apple
data\apple\1f1f3-1f1ec.png,apple
data\apple\1f1f3-1f1ee.png,apple
data\apple\1f1f3-1f1f1.png,apple
data\apple\1f1f3-1f1f4.png,apple
data\apple\1f1f3-1f1f5.png,apple
data\apple\1f1f3-1f1f7.png,apple
data\apple\1f1f3-1f1fa.png,apple
data\apple\1f1f3-1f1ff.png,apple
data\apple\1f1f4-1f1f2.png,apple
data\apple\1f1f5-1f1e6.png,apple
data\apple\1f1f5-1f1ea.png,apple
